"from","to","weight","agreement_rate","total_votes","width","color"
"CDA","BBB",327,0.723451327433628,452,2.26558891454965,"#80808014"
"ChristenUnie","BBB",321,0.670146137787056,479,2.22401847575058,"#80808014"
"D66","BBB",268,0.530693069306931,505,1.8568129330254,"#80808014"
"BBB","DENK",206,0.460850111856823,447,1.42725173210162,"#80808014"
"FVD","BBB",296,0.627118644067797,472,2.05080831408776,"#80808014"
"GroenLinks-PvdA","BBB",205,0.422680412371134,485,1.4203233256351,"#80808014"
"JA21","BBB",328,0.761020881670534,431,2.27251732101617,"#80808014"
"NSC","BBB",364,0.738336713995943,493,2.52193995381062,"#80808014"
"PVV","BBB",379,0.767206477732793,494,2.62586605080831,"#80808014"
"PvdD","BBB",162,0.371559633027523,436,1.12240184757506,"#80808014"
"SGP","BBB",361,0.769722814498934,469,2.50115473441109,"#80808014"
"SP","BBB",220,0.478260869565217,460,1.52424942263279,"#80808014"
"VVD","BBB",400,0.811359026369168,493,2.77136258660508,"#808080D9"
"Volt","BBB",220,0.491071428571429,448,1.52424942263279,"#80808014"
"CDA","ChristenUnie",382,0.826839826839827,462,2.64665127020785,"#80808014"
"CDA","D66",346,0.748917748917749,462,2.39722863741339,"#80808014"
"CDA","DENK",283,0.58592132505176,483,1.96073903002309,"#80808014"
"CDA","FVD",245,0.520169851380042,471,1.69745958429561,"#80808014"
"GroenLinks-PvdA","CDA",295,0.594758064516129,496,2.04387990762125,"#80808014"
"CDA","JA21",295,0.661434977578475,446,2.04387990762125,"#80808014"
"NSC","CDA",388,0.790224032586558,491,2.68822170900693,"#808080D9"
"CDA","PVV",279,0.58004158004158,481,1.93302540415704,"#80808014"
"PvdD","CDA",250,0.574712643678161,435,1.73210161662818,"#80808014"
"SGP","CDA",333,0.743303571428571,448,2.30715935334873,"#80808014"
"SP","CDA",277,0.590618336886994,469,1.91916859122402,"#80808014"
"VVD","CDA",367,0.764583333333333,480,2.54272517321016,"#80808014"
"Volt","CDA",302,0.671111111111111,450,2.09237875288684,"#80808014"
"ChristenUnie","D66",373,0.734251968503937,508,2.58429561200924,"#80808014"
"ChristenUnie","DENK",314,0.661052631578947,475,2.17551963048499,"#80808014"
"ChristenUnie","FVD",218,0.467811158798283,466,1.51039260969977,"#80808014"
"GroenLinks-PvdA","ChristenUnie",372,0.703213610586011,529,2.57736720554273,"#80808014"
"ChristenUnie","JA21",277,0.607456140350877,456,1.91916859122402,"#80808014"
"NSC","ChristenUnie",386,0.764356435643564,505,2.6743648960739,"#808080D9"
"ChristenUnie","PVV",266,0.511538461538461,520,1.84295612009238,"#80808014"
"PvdD","ChristenUnie",302,0.630480167014614,479,2.09237875288684,"#80808014"
"SGP","ChristenUnie",373,0.780334728033473,478,2.58429561200924,"#80808014"
"SP","ChristenUnie",322,0.662551440329218,486,2.23094688221709,"#80808014"
"VVD","ChristenUnie",335,0.686475409836066,488,2.32101616628176,"#80808014"
"Volt","ChristenUnie",330,0.731707317073171,451,2.28637413394919,"#80808014"
"D66","DENK",334,0.680244399185336,491,2.31408775981524,"#80808014"
"FVD","D66",199,0.391732283464567,508,1.37875288683603,"#80808014"
"GroenLinks-PvdA","D66",407,0.80276134122288,507,2.81986143187067,"#808080D9"
"JA21","D66",250,0.560538116591928,446,1.73210161662818,"#80808014"
"NSC","D66",372,0.686346863468635,542,2.57736720554273,"#80808014"
"PVV","D66",258,0.482242990654206,535,1.78752886836028,"#80808014"
"PvdD","D66",350,0.733752620545073,477,2.42494226327945,"#80808014"
"SGP","D66",289,0.622844827586207,464,2.00230946882217,"#80808014"
"SP","D66",373,0.74749498997996,499,2.58429561200924,"#80808014"
"VVD","D66",315,0.62874251497006,501,2.1824480369515,"#80808014"
"Volt","D66",390,0.864745011086475,451,2.70207852193995,"#808080D9"
"FVD","DENK",232,0.481327800829876,482,1.60739030023095,"#80808014"
"GroenLinks-PvdA","DENK",404,0.77992277992278,518,2.79907621247113,"#808080D9"
"JA21","DENK",208,0.492890995260663,422,1.44110854503464,"#80808014"
"NSC","DENK",273,0.562886597938144,485,1.89145496535797,"#80808014"
"PVV","DENK",215,0.419103313840156,513,1.48960739030023,"#80808014"
"PvdD","DENK",384,0.775757575757576,495,2.66050808314088,"#808080D9"
"SGP","DENK",259,0.546413502109705,474,1.79445727482679,"#80808014"
"SP","DENK",413,0.817821782178218,505,2.86143187066975,"#808080D9"
"VVD","DENK",230,0.454545454545455,506,1.59353348729792,"#80808014"
"Volt","DENK",347,0.766004415011038,453,2.40415704387991,"#80808014"
"GroenLinks-PvdA","FVD",182,0.356164383561644,511,1.26096997690531,"#80808014"
"FVD","JA21",276,0.647887323943662,426,1.91224018475751,"#80808014"
"NSC","FVD",271,0.533464566929134,508,1.87759815242494,"#80808014"
"FVD","PVV",336,0.633962264150943,530,2.32794457274827,"#80808014"
"PvdD","FVD",166,0.370535714285714,448,1.15011547344111,"#80808014"
"SGP","FVD",265,0.577342047930283,459,1.83602771362587,"#80808014"
"SP","FVD",223,0.442460317460317,504,1.54503464203233,"#80808014"
"VVD","FVD",237,0.489669421487603,484,1.64203233256351,"#80808014"
"Volt","FVD",181,0.410430839002268,441,1.2540415704388,"#80808014"
"GroenLinks-PvdA","JA21",198,0.427645788336933,463,1.37182448036951,"#80808014"
"GroenLinks-PvdA","NSC",318,0.594392523364486,535,2.20323325635104,"#80808014"
"GroenLinks-PvdA","PVV",186,0.35632183908046,522,1.28868360277136,"#80808014"
"GroenLinks-PvdA","PvdD",428,0.845849802371542,506,2.96535796766744,"#808080D9"
"GroenLinks-PvdA","SGP",259,0.529652351738241,489,1.79445727482679,"#80808014"
"GroenLinks-PvdA","SP",433,0.847358121330724,511,3,"#808080D9"
"GroenLinks-PvdA","VVD",266,0.495344506517691,537,1.84295612009238,"#80808014"
"GroenLinks-PvdA","Volt",431,0.885010266940452,487,2.98614318706697,"#808080D9"
"NSC","JA21",301,0.650107991360691,463,2.08545034642032,"#80808014"
"PVV","JA21",343,0.758849557522124,452,2.37644341801386,"#80808014"
"PvdD","JA21",175,0.420673076923077,416,1.21247113163972,"#80808014"
"SGP","JA21",319,0.733333333333333,435,2.21016166281755,"#80808014"
"SP","JA21",203,0.451111111111111,450,1.40646651270208,"#80808014"
"VVD","JA21",309,0.708715596330275,436,2.14087759815243,"#80808014"
"Volt","JA21",208,0.507317073170732,410,1.44110854503464,"#80808014"
"NSC","PVV",345,0.646067415730337,534,2.39030023094688,"#80808014"
"PvdD","NSC",255,0.540254237288136,472,1.76674364896074,"#80808014"
"SGP","NSC",363,0.76421052631579,475,2.51501154734411,"#80808014"
"NSC","SP",324,0.605607476635514,535,2.24480369515012,"#80808014"
"NSC","VVD",411,0.781368821292776,526,2.84757505773672,"#808080D9"
"Volt","NSC",299,0.660044150110375,453,2.0715935334873,"#80808014"
"SGP","PVV",323,0.675732217573222,478,2.2378752886836,"#80808014"
"SP","PVV",210,0.399239543726236,526,1.45496535796767,"#80808014"
"VVD","PVV",359,0.698443579766537,514,2.48729792147806,"#80808014"
"Volt","PVV",199,0.410309278350515,485,1.37875288683603,"#80808014"
"PvdD","PvdA",3,0.6,5,0.5,"#80808014"
"PvdD","PVV",169,0.34349593495935,492,1.17090069284065,"#80808014"
"PvdD","SGP",221,0.493303571428571,448,1.53117782909931,"#80808014"
"PvdD","SP",422,0.868312757201646,486,2.92378752886836,"#808080D9"
"PvdD","VVD",204,0.428571428571429,476,1.41339491916859,"#80808014"
"PvdD","Volt",366,0.802631578947368,456,2.53579676674365,"#80808014"
"SGP","SP",232,0.49678800856531,467,1.60739030023095,"#80808014"
"SGP","VVD",357,0.715430861723447,499,2.47344110854503,"#80808014"
"Volt","SGP",245,0.576470588235294,425,1.69745958429561,"#80808014"
"SP","VVD",249,0.49112426035503,507,1.72517321016166,"#80808014"
"Volt","SP",381,0.79045643153527,482,2.63972286374134,"#80808014"
"Volt","VVD",258,0.560869565217391,460,1.78752886836028,"#80808014"
